glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,abs_delta,delta_geracao_2,delta_geracao_3,delta_medio_pareado,abs_delta_medio_pareado
5,28,hub,2.038421776349284,Smp_302310.2,False,Smp_302310.2,0.8404553233455235,27.67987856436857,negativa,2.5134431998165225,1.563400352882046,-0.9500428469344766,0.9500428469344766,-1.8425237994201433,-0.0575618944488101,-0.9500428469344767,0.9500428469344767
5,28,hub,2.267657350028229,Smp_017710.1,False,Smp_017710.1,1.6791758883744086,27.618825593062176,negativa,2.8885665488660033,1.6467481511904545,-1.2418183976755488,1.2418183976755488,-2.5556505412563366,0.07201374590523946,-1.2418183976755486,1.2418183976755486
5,26,hub,2.059921082965108,Smp_122790.2,False,Smp_122790.2,1.4722776704329477,25.657327727429703,negativa,2.8101514387368125,1.3096907271934026,-1.5004607115434099,1.5004607115434099,-2.407639992609052,-0.5932814304777683,-1.50046071154341,1.50046071154341
6,26,hub,0.8828747632236191,Smp_060620.1,False,Smp_060620.1,1.5550939993732475,25.628526291963503,negativa,1.5393479762611388,0.22640155018609945,-1.3129464260750394,1.3129464260750394,-2.277959655997695,-0.3479331961523837,-1.3129464260750394,1.3129464260750394
5,25,hub,0.4904564920166311,Smp_347540.2,False,Smp_347540.2,0.7197940299901896,24.67645845557082,negativa,0.8773013911243888,0.1036115929088735,-0.7736897982155153,0.7736897982155153,-1.7546027822487775,0.207223185817747,-0.7736897982155153,0.7736897982155153
5,24,hub,1.1474090943394777,Smp_335380.1,False,Smp_335380.1,1.101146027239278,23.69175704199705,negativa,1.8171013035704995,0.47771688510845534,-1.339384418462044,1.339384418462044,-2.4368041254173796,-0.24196471150670862,-1.339384418462044,1.339384418462044
6,17,hub,1.1514008822226718,Smp_327370.1,False,Smp_327370.1,1.6431234655380222,16.754165300745886,negativa,1.7697448221484873,0.533056942296856,-1.2366878798516314,1.2366878798516314,-2.0803410915349847,-0.39303466816827826,-1.2366878798516314,1.2366878798516314
6,17,hub,0.9264215728151068,Smp_032670.1,False,Smp_032670.1,1.0236258168139434,16.749865440724687,negativa,1.4154954095675067,0.4373477360627069,-0.9781476735047998,0.9781476735047998,-1.4712725310150114,-0.4850228159945883,-0.9781476735047998,0.9781476735047998
5,16,hub,3.9450848553732456,Smp_055870.2,False,Smp_055870.2,0.7363535602432628,15.812377698359237,negativa,4.575806484864467,3.3143632258820253,-1.2614432589824416,1.2614432589824416,-1.920012895027352,-0.6028736229375307,-1.2614432589824414,1.2614432589824414
6,16,hub,1.1362429633033138,Smp_082410.1,False,Smp_082410.1,0.923066820000324,15.747204275950338,negativa,1.4129550349428486,0.8595308916637794,-0.5534241432790692,0.5534241432790692,-1.2518337314780212,0.14498544491988274,-0.5534241432790692,0.5534241432790692
5,14,hub,0.9846581527434723,Smp_323420.1,False,Smp_323420.1,0.8463064646098232,13.749332683191543,negativa,1.5599331457670311,0.40938315971991385,-1.1505499860471173,1.1505499860471173,-2.2232449052406316,-0.07785506685360288,-1.1505499860471171,1.1505499860471171
6,14,hub,1.236062621337813,Smp_318100.1,False,Smp_318100.1,1.652249780782952,13.744316811149975,negativa,1.6694251943347957,0.8027000483408301,-0.8667251459939657,0.8667251459939657,-2.0261274167760726,0.2926771247881412,-0.8667251459939657,0.8667251459939657
1,13,hub,0.5842319674132046,Smp_328620.2,False,Smp_328620.2,0.8670852944364337,12.824530710147693,negativa,0.1911753690206693,0.9772885658057399,0.7861131967850705,0.7861131967850705,1.9545771316114797,-0.3823507380413386,0.7861131967850705,0.7861131967850705
5,13,hub,0.6437219845810968,Smp_203090.1,False,Smp_203090.1,0.7213707312237806,12.791972831566856,negativa,1.2874439691621935,0.0,-1.2874439691621935,1.2874439691621935,-1.7907332596995735,-0.7841546786248136,-1.2874439691621935,1.2874439691621935
11,13,hub,1.1611025239821269,Smp_332600.2,False,Smp_332600.2,1.0392605662069117,12.710250393955496,negativa,1.9909792351248163,0.33122581283943753,-1.659753422285379,1.659753422285379,-2.258915046141574,-1.0605917984291837,-1.659753422285379,1.659753422285379
16,33,hub,3.241844614252172,Smp_322700.1,False,Smp_322700.1,4.794368740171649,32.5797802005595,positiva,1.9721954028385724,4.511493825665772,2.5392984228271995,2.5392984228271995,4.790743110702499,0.28785373495190036,2.5392984228271995,2.5392984228271995
16,32,hub,2.219415759943121,Smp_341200.2,False,Smp_341200.2,1.183640891253307,31.584916694805656,positiva,1.5967990051319403,2.8420325147543015,1.2452335096223612,1.2452335096223612,2.4019771665452065,0.08848985269951593,1.2452335096223612,1.2452335096223612
16,31,hub,3.008076727410164,Smp_152630.1,False,Smp_152630.1,4.065358675268367,30.63858776020884,positiva,1.8643375158433777,4.15181593897695,2.287478423133572,2.287478423133572,4.229307046664656,0.3456497996024881,2.287478423133572,2.287478423133572
16,31,hub,1.6310051266214054,Smp_139080.2,False,Smp_139080.2,1.1999155931331145,30.635288385669863,positiva,0.9953082793264358,2.2667019739163754,1.2713936945899396,1.2713936945899396,2.2985430712968586,0.24424431788302003,1.2713936945899393,1.2713936945899393
16,30,hub,1.594010015877928,Smp_336310.2,False,Smp_336310.2,1.1368962720555846,29.65217937194264,positiva,1.001322459713973,2.1866975720418833,1.1853751123279104,1.1853751123279104,2.198557643396347,0.1721925812594738,1.1853751123279104,1.1853751123279104
16,30,hub,1.5642269384392768,Smp_012350.1,False,Smp_012350.1,1.1089695298377824,29.641295609474785,positiva,0.9859900679605913,2.142463808917962,1.1564737409573709,1.1564737409573709,2.2926707457676754,0.0202767361470666,1.156473740957371,1.156473740957371
16,30,hub,1.426396834403835,Smp_149380.2,False,Smp_149380.2,0.9693012604950978,29.56200850250568,positiva,0.7761130274398744,2.076680641367796,1.3005676139279214,1.3005676139279214,2.1532469536838295,0.44788827417201293,1.3005676139279212,1.3005676139279212
16,30,hub,1.512737248533854,Smp_210520.2,False,Smp_210520.2,1.1063180075612935,29.545545101117582,positiva,0.8110973818400804,2.2143771152276277,1.4032797333875473,1.4032797333875473,2.344765164703008,0.4617943020720867,1.4032797333875473,1.4032797333875473
16,29,hub,2.9298889539155075,Smp_047870.1,False,Smp_047870.1,3.843212004066856,28.69339040810334,positiva,1.849509703656636,4.010268204174379,2.1607585005177428,2.1607585005177428,4.108722322424374,0.2127946786111128,2.160758500517743,2.160758500517743
16,29,hub,2.368756531406394,Smp_246790.1,False,Smp_246790.1,2.509071735491712,28.689008840395925,positiva,1.501277546677068,3.2362355161357197,1.7349579694586517,1.7349579694586517,3.3050377921649847,0.16487814675231904,1.7349579694586519,1.7349579694586519
16,28,hub,4.988610451751297,Smp_004690.2,False,Smp_004690.2,0.9164137248987236,27.598731335220734,positiva,4.367355130955825,5.609865772546769,1.2425106415909442,1.2425106415909442,2.183549488649196,0.30147179453269235,1.2425106415909442,1.2425106415909442
16,27,hub,3.83786800689414,Smp_134410.1,False,Smp_134410.1,6.592200215093551,26.68537188072142,positiva,2.4279959446233974,5.247740069164883,2.8197441245414856,2.8197441245414856,5.114858348866161,0.5246299002168104,2.8197441245414856,2.8197441245414856
16,27,hub,4.825060156081327,Smp_302270.1,False,Smp_302270.1,0.9296788922646332,26.65664173652649,positiva,4.24537543507399,5.404744877088664,1.1593694420146736,1.1593694420146736,1.950788599092129,0.3679502849372165,1.1593694420146727,1.1593694420146727
16,27,hub,1.5605287290254428,Smp_320400.1,False,Smp_320400.1,1.1336540350731448,26.60897732341666,positiva,0.9720862671136846,2.1489711909372016,1.176884923823517,1.176884923823517,2.3999697565449694,-0.046199908897935904,1.1768849238235166,1.1768849238235166
16,26,hub,1.4661828703806288,Smp_331170.2,False,Smp_331170.2,0.9776086264600666,25.68626569813645,positiva,0.8785829008184254,2.053782839942832,1.1751999391244068,1.1751999391244068,1.9908735590649191,0.35952631918389466,1.1751999391244068,1.1751999391244068
16,26,hub,1.6855535868748794,Smp_312610.1,False,Smp_312610.1,1.2955679251913763,25.678324186923003,positiva,1.0038171720573625,2.367290001692397,1.3634728296350345,1.3634728296350345,2.2887158692228615,0.43822979004720697,1.3634728296350342,1.3634728296350342
16,26,hub,2.220986101713509,Smp_133860.1,False,Smp_133860.1,1.220810956247516,25.666081030030657,positiva,1.682138956236287,2.7598332471907323,1.0776942909544454,1.0776942909544454,2.19302497845019,-0.0376363965412998,1.0776942909544451,1.0776942909544451
16,26,hub,4.424188576886111,Smp_041500.2,False,Smp_041500.2,0.909829453314204,25.65683519509289,positiva,3.85381030383148,4.9945668499407425,1.1407565461092624,1.1407565461092624,2.180883721750693,0.10062937046783205,1.1407565461092626,1.1407565461092626
16,26,hub,2.943146983105005,Smp_340430.1,False,Smp_340430.1,3.897463130485648,25.650786450567463,positiva,2.004053518059834,3.882240448150176,1.878186930090342,1.878186930090342,4.139477926561435,-0.383104066380751,1.878186930090342,1.878186930090342
16,26,hub,1.891011652613664,Smp_105180.2,False,Smp_105180.2,1.5974316608386234,25.627231463623453,positiva,1.3092820238324254,2.472741281394903,1.1634592575624776,1.1634592575624776,2.5442210080541976,-0.21730249292924242,1.1634592575624776,1.1634592575624776
