rede,glay,n_genes,n_hubs,grau_medio,grau_maximo,weighted_degree_medio,top_gene,top_gene_degree,media_delta_pareado,mediana_delta_pareado,media_abs_delta_pareado,delta_ponderado_por_grau,direcao_modulo,media_delta_hubs,genes_principais
negativa,5,74,8,6.472972972972973,28,6.378477856101968,Smp_302310.2,28,0.8094882223959953,1.2139428769594272,1.4045485953494654,0.1391391782371261,maior_alopatrica_moderado,-1.1881041733778432,Smp_302310.2; Smp_017710.1; Smp_122790.2; Smp_347540.2; Smp_335380.1; Smp_055870.2; Smp_323420.1; Smp_203090.1
negativa,6,58,5,7.724137931034483,26,7.606858939782442,Smp_060620.1,26,0.29853512214783323,0.3354299813498929,0.8328954005837248,0.09720834503497107,diferenca_pequena,-0.989586253740901,Smp_060620.1; Smp_327370.1; Smp_032670.1; Smp_082410.1; Smp_318100.1; Smp_340300.2; Smp_019690.2; Smp_043500.2
negativa,11,35,1,4.8,13,4.719792380502551,Smp_332600.2,13,0.9088760157921142,1.6117993635189343,2.031709094966802,0.2057113893305209,maior_alopatrica_moderado,-1.659753422285379,Smp_332600.2; Smp_331440.1; Smp_173320.2; Smp_054620.3; Smp_196880.2; Smp_170770.2; Smp_179970.1; Smp_322930.1
negativa,1,31,1,4.709677419354839,13,4.6408113825393436,Smp_328620.2,13,-0.4087978512866346,-0.8425461191163237,1.2048029556629631,-0.13775024456638518,diferenca_pequena,0.7861131967850705,Smp_328620.2; Smp_155320.1; Smp_141010.2; Smp_310980.1; Smp_058140.1; Smp_023940.1; Smp_303350.1; Smp_058140.3
negativa,12,11,0,6.090909090909091,8,6.016793069408803,Smp_266830.2,8,0.019861514755851115,-0.0206786673177779,0.19482325169686973,0.03778340963341062,diferenca_pequena,,Smp_266830.2; Smp_204370.1; Smp_328910.1; Smp_017470.1; Smp_246970.2; Smp_133590.3; Smp_074390.1; Smp_181080.1
negativa,9,7,0,3.5714285714285716,5,3.5233024206028385,Smp_046060.2,5,0.03500988496881146,-0.0349275955092726,0.16992463922989653,0.022932274839997775,diferenca_pequena,,Smp_046060.2; Smp_130520.1; Smp_246050.3; Smp_345970.1; Smp_000500.1; Smp_323240.1; Smp_331190.1
negativa,7,29,0,3.4482758620689653,10,3.3973876936978513,Smp_213510.1,10,-0.2060517852730609,-0.23855646665312324,0.5894755228885226,-0.04343775759057239,diferenca_pequena,,Smp_213510.1; Smp_316910.1; Smp_175880.1; Smp_140260.1; Smp_084180.1; Smp_319120.2; Smp_326490.1; Smp_317180.1
negativa,2,16,0,2.75,7,2.712658857562144,Smp_245600.2,7,-0.5868066130963779,-0.6731370689892922,1.1106653208444235,-0.17799172179745987,maior_simpatrica_moderado,,Smp_245600.2; Smp_319970.1; Smp_337670.1; Smp_007630.2; Smp_316860.1; Smp_318260.2; Smp_343390.1; Smp_091190.2
negativa,4,5,0,2.0,3,1.9721819470990591,Smp_335670.1,3,0.3959121219663492,1.2683456059661093,1.3500235321008176,0.14006607581808345,diferenca_pequena,,Smp_335670.1; Smp_049230.1; Smp_348240.1; Smp_343170.2; Smp_335110.1
negativa,10,5,0,2.0,3,1.9827607727852414,Smp_346380.2,3,-0.21176915190078355,-0.7115748347122635,0.9182208230772266,-0.03985288853397797,diferenca_pequena,,Smp_346380.2; Smp_323250.1; Smp_051670.1; Smp_085830.1; Smp_331380.1
negativa,3,4,0,1.75,4,1.7407595907250304,Smp_048050.2,4,0.2715070024675498,0.4621891484246794,0.513241031173626,-0.05205373748089402,diferenca_pequena,,Smp_048050.2; Smp_246970.1; Smp_181080.2; Smp_129410.1
negativa,8,3,0,1.3333333333333333,2,1.3106415518178636,Smp_328440.1,2,1.2561550516466762,0.9154282276294179,1.7856130091403546,0.7435695546748778,maior_alopatrica_forte,,Smp_328440.1; Smp_150230.2; Smp_348100.1
positiva,16,75,20,18.08,33,17.82631156235843,Smp_322700.1,33,1.3364510084977925,1.276621170969758,1.3384461037167845,1.454490096655858,maior_alopatrica_forte,1.5241047823098401,Smp_322700.1; Smp_341200.2; Smp_152630.1; Smp_139080.2; Smp_336310.2; Smp_012350.1; Smp_149380.2; Smp_210520.2
positiva,12,32,0,7.84375,12,7.738508300388107,Smp_323440.1,12,-0.520386951418576,-0.5811751961849976,0.6813508879960926,-0.5659513026712107,maior_simpatrica_moderado,,Smp_323440.1; Smp_323270.2; Smp_323320.1; Smp_323300.1; Smp_335135.1; Smp_323190.1; Smp_335130.1; Smp_323270.1
positiva,15,31,0,7.516129032258065,13,7.415732266862374,Smp_040710.2,13,2.053917414489893,1.8770232261652244,2.053917414489893,2.1292307386363456,maior_alopatrica_forte,,Smp_040710.2; Smp_309730.1; Smp_341160.2; Smp_323230.1; Smp_170910.1; Smp_058050.1; Smp_201340.1; Smp_051000.1
positiva,3,26,0,6.884615384615385,12,6.783526202277894,Smp_051000.2,12,-1.3137355413548595,-1.2706719012642234,1.3137355413548595,-1.2884478317308268,maior_simpatrica_forte,,Smp_051000.2; Smp_150080.2; Smp_020450.2; Smp_093430.1; Smp_320200.1; Smp_023940.2; Smp_141010.3; Smp_346930.2
positiva,14,17,0,5.588235294117647,7,5.51246267594923,Smp_010550.1,7,-0.16453295002181567,-0.1284101987189592,0.484939548527554,-0.23327198252310957,diferenca_pequena,,Smp_010550.1; Smp_212300.2; Smp_182600.1; Smp_204040.1; Smp_330270.1; Smp_152580.1; Smp_266830.2; Smp_214020.2
positiva,11,8,0,5.5,8,5.409003788800197,Smp_088420.1,8,0.785512541118662,0.8618910427734479,0.785512541118662,0.8418131337505614,maior_alopatrica_moderado,,Smp_088420.1; Smp_146150.1; Smp_055090.3; Smp_326650.1; Smp_331190.1; Smp_332090.1; Smp_307220.3; Smp_046060.2
positiva,10,31,0,5.419354838709677,9,5.342131724483297,Smp_019690.2,9,-0.4587489732988027,-0.43848185171829934,0.5814835434782348,-0.4595409371305402,diferenca_pequena,,Smp_019690.2; Smp_043500.2; Smp_082410.1; Smp_327460.1; Smp_347490.1; Smp_000790.1; Smp_063530.1; Smp_328360.1
positiva,18,13,0,4.923076923076923,8,4.85231874656901,Smp_319930.1,8,1.6718950873041467,1.3943847735979646,1.6718950873041467,1.950330471929303,maior_alopatrica_forte,,Smp_319930.1; Smp_322350.1; Smp_242860.2; Smp_104500.2; Smp_335110.1; Smp_348100.1; Smp_150230.2; Smp_343170.2
positiva,8,5,0,3.6,4,3.561845721141501,Smp_211020.1,4,-1.7980447512891318,-1.6741822857886604,1.7980447512891318,-1.7771169385975822,maior_simpatrica_forte,,Smp_211020.1; Smp_335370.1; Smp_170770.2; Smp_196880.2; Smp_205300.2
positiva,7,19,0,3.526315789473684,7,3.4732945180778403,Smp_316860.1,7,-1.0231256575734093,-0.841037591874579,1.044292167179058,-1.2213480445356164,maior_simpatrica_forte,,Smp_316860.1; Smp_247660.1; Smp_163570.2; Smp_304890.1; Smp_171140.1; Smp_019840.2; Smp_348820.2; Smp_163600.2
positiva,19,4,0,3.0,3,2.977263590300551,Smp_181730.1,3,0.7036480710535533,0.5070611360753372,0.7036480710535533,0.7036480710535534,maior_alopatrica_moderado,,Smp_181730.1; Smp_121990.2; Smp_313630.1; Smp_317170.1
positiva,5,17,0,2.8823529411764706,4,2.839025418379213,Smp_317510.1,4,-1.0534489857315967,-1.1991594921841289,1.0704229994207188,-1.0742833783537826,maior_simpatrica_forte,,Smp_317510.1; Smp_055870.2; Smp_314280.1; Smp_154900.1; Smp_084180.1; Smp_022320.2; Smp_203090.1; Smp_307630.1
positiva,4,4,0,2.5,3,2.462268714647122,Smp_141010.2,3,0.7653531954074402,0.776498418076532,0.7653531954074402,0.7675822399412586,maior_alopatrica_moderado,,Smp_141010.2; Smp_328620.2; Smp_058140.1; Smp_056460.1
positiva,6,3,0,2.0,2,1.9782511142455155,Smp_130520.1,2,-0.0257584575820559,-0.0349275955092726,0.06618890959552526,-0.0257584575820559,diferenca_pequena,,Smp_130520.1; Smp_246050.3; Smp_345970.1
positiva,1,3,0,1.3333333333333333,2,1.3156113522797803,Smp_179390.1,2,1.2181257940921364,1.2012623997741112,1.2181257940921364,1.1980864477568582,maior_alopatrica_forte,,Smp_179390.1; Smp_320100.1; Smp_346960.1
positiva,2,2,0,1.0,1,0.979325833261632,Smp_335670.1,1,-1.1926392626680857,-1.1926392626680857,1.1926392626680857,-1.1926392626680857,maior_simpatrica_forte,,Smp_335670.1; Smp_348240.1
positiva,17,2,0,1.0,1,0.9777669993243636,Smp_245600.2,1,0.8843705029212464,0.8843705029212464,0.8843705029212464,0.8843705029212464,maior_alopatrica_moderado,,Smp_245600.2; Smp_319970.1
positiva,13,2,0,1.0,1,0.998716877746149,Smp_051670.1,1,0.8830645889705538,0.8830645889705538,0.8830645889705538,0.8830645889705538,maior_alopatrica_moderado,,Smp_051670.1; Smp_346380.2
positiva,9,2,0,1.0,1,0.9958063610328264,Smp_193680.1,1,0.3676502099826616,0.3676502099826616,0.3676502099826616,0.3676502099826616,diferenca_pequena,,Smp_193680.1; Smp_335785.1
