rede,glay,n_genes,n_hubs,mean_degree,median_degree,max_degree,mean_weighted_degree,top_gene,top_degree,genes_principais
negativa,5,74,8,6.472972972972973,5.0,28,6.378477856101968,Smp_302310.2,28,Smp_302310.2; Smp_017710.1; Smp_122790.2; Smp_347540.2; Smp_335380.1; Smp_055870.2; Smp_323420.1; Smp_203090.1; Smp_312620.1; Smp_317510.1
negativa,6,58,5,7.724137931034483,7.0,26,7.606858939782442,Smp_060620.1,26,Smp_060620.1; Smp_327370.1; Smp_032670.1; Smp_082410.1; Smp_318100.1; Smp_340300.2; Smp_019690.2; Smp_043500.2; Smp_150000.1; Smp_326770.2
negativa,11,35,1,4.8,4.0,13,4.719792380502551,Smp_332600.2,13,Smp_332600.2; Smp_331440.1; Smp_173320.2; Smp_054620.3; Smp_196880.2; Smp_170770.2; Smp_179970.1; Smp_322930.1; Smp_335370.1; Smp_196880.1
negativa,1,31,1,4.709677419354839,4.0,13,4.6408113825393436,Smp_328620.2,13,Smp_328620.2; Smp_155320.1; Smp_141010.2; Smp_310980.1; Smp_058140.1; Smp_023940.1; Smp_303350.1; Smp_058140.3; Smp_192010.1; Smp_051000.2
negativa,7,29,0,3.4482758620689653,3.0,10,3.3973876936978513,Smp_213510.1,10,Smp_213510.1; Smp_316910.1; Smp_175880.1; Smp_140260.1; Smp_084180.1; Smp_319120.2; Smp_326490.1; Smp_317180.1; Smp_340840.1; Smp_200710.1
negativa,2,16,0,2.75,2.0,7,2.712658857562144,Smp_245600.2,7,Smp_245600.2; Smp_319970.1; Smp_337670.1; Smp_007630.2; Smp_316860.1; Smp_318260.2; Smp_343390.1; Smp_091190.2; Smp_171140.1; Smp_304890.1
negativa,12,11,0,6.090909090909091,6.0,8,6.016793069408803,Smp_266830.2,8,Smp_266830.2; Smp_204370.1; Smp_328910.1; Smp_017470.1; Smp_246970.2; Smp_133590.3; Smp_074390.1; Smp_181080.1; Smp_164270.2; Smp_028210.2
negativa,9,7,0,3.5714285714285716,4.0,5,3.5233024206028385,Smp_046060.2,5,Smp_046060.2; Smp_130520.1; Smp_246050.3; Smp_345970.1; Smp_000500.1; Smp_323240.1; Smp_331190.1
negativa,4,5,0,2.0,2.0,3,1.9721819470990591,Smp_335670.1,3,Smp_335670.1; Smp_049230.1; Smp_348240.1; Smp_343170.2; Smp_335110.1
negativa,10,5,0,2.0,2.0,3,1.9827607727852414,Smp_346380.2,3,Smp_346380.2; Smp_323250.1; Smp_051670.1; Smp_085830.1; Smp_331380.1
negativa,3,4,0,1.75,1.0,4,1.7407595907250304,Smp_048050.2,4,Smp_048050.2; Smp_246970.1; Smp_181080.2; Smp_129410.1
negativa,8,3,0,1.3333333333333333,1.0,2,1.3106415518178636,Smp_328440.1,2,Smp_328440.1; Smp_150230.2; Smp_348100.1
